bond_A,energy_hartree
1.00000,-75.77119999999999
1.10000,-75.87627999999999
1.20000,-75.91427000000000
1.24253,-75.91771000000000
1.30000,-75.91439000000000
1.40000,-75.89473000000000
1.60000,-75.83909999999999
1.80000,-75.79571000000000
2.00000,-75.76065000000000
12.44000,-75.68949200000000
